# strings this corpus segments more than one way, worst first.
# minority = token instances that would change if the majority form were made canonical.
# forms lists every observed segmentation as form:count, majority first.
surface	total	minority	majority	forms	splits
山上	13	4	山|上	山|上:9 山上:4	train=12,val=1
踢球	13	4	踢球	踢球:9 踢|球:4	train=13
何不	12	4	何不	何不:8 何|不:4	train=12
叫人	11	4	叫|人	叫|人:7 叫人:4	train=11
说实话	11	4	说|实话	说|实话:7 说实话:4	train=11
一行	10	4	一|行	一|行:6 一行:4	train=10
三年	10	4	三|年	三|年:6 三年:4	train=10
不高兴	10	4	不|高兴	不|高兴:6 不高兴:4	train=10
之类的	10	4	之类|的	之类|的:6 之类的:4	train=10
吃饱	10	4	吃|饱	吃|饱:6 吃饱:4	train=10
好消息	10	4	好消息	好消息:6 好|消息:4	train=9,val=1
没事的	10	4	没事|的	没事|的:6 没|事|的:3 没事的:1	test=2,train=7,val=1
真棒	10	4	真|棒	真|棒:6 真棒:4	train=10
走去	10	4	走去	走去:6 走|去:4	train=10
听明白	9	4	听明白	听明白:5 听|明白:4	train=9
就是说	9	4	就是|说	就是|说:5 就|是|说:3 就是说:1	train=9
抱着	9	4	抱|着	抱|着:5 抱着:4	train=9
撞到	9	4	撞到	撞到:5 撞|到:4	train=9
而来	9	4	而|来	而|来:5 而来:4	train=9
试试看	9	4	试试看	试试看:5 试试|看:4	train=9
骗人	9	4	骗|人	骗|人:5 骗人:4	train=9
二位	8	4	二|位	二|位:4 二位:4	train=8
得出	8	4	得出	得出:4 得|出:4	train=8
累死	8	4	累死	累死:4 累|死:4	train=8
不要脸	7	4	不|要|脸	不|要|脸:3 不要脸:3 不|要脸:1	train=7
对吧	212	3	对|吧	对|吧:209 对吧:3	test=4,train=205,val=3
一样	196	3	一样	一样:193 一|样:3	train=194,val=2
能不能	69	3	能|不|能	能|不|能:66 能|不能:2 能不能:1	test=1,train=68
活着	55	3	活着	活着:52 活|着:3	test=2,train=52,val=1
待在	49	3	待|在	待|在:46 待在:3	test=1,train=48
几点	45	3	几点	几点:42 几|点:3	train=45
带着	44	3	带|着	带|着:41 带着:3	train=44
妈的	42	3	妈的	妈的:39 妈|的:3	train=42
怎会	42	3	怎|会	怎|会:39 怎会:3	train=41,val=1
不如	36	3	不如	不如:33 不|如:3	train=36
哪位	27	3	哪位	哪位:24 哪|位:3	train=27
就算	27	3	就算	就算:24 就|算:3	test=1,train=26
感觉到	27	3	感觉到	感觉到:24 感觉|到:3	train=27
不像	25	3	不|像	不|像:22 不像:3	train=25
今天晚上	25	3	今天|晚上	今天|晚上:22 今天晚上:3	train=25
床上	25	3	床|上	床|上:22 床上:3	train=24,val=1
看得	25	3	看|得	看|得:22 看得:3	train=25
一把	24	3	一|把	一|把:21 一把:3	train=22,val=2
下一	23	3	下|一	下|一:20 下一:3	train=23
不可	23	3	不可	不可:20 不|可:3	train=23
滚开	23	3	滚开	滚开:20 滚|开:3	train=23
上楼	22	3	上楼	上楼:19 上|楼:3	train=22
不肯	20	3	不|肯	不|肯:17 不肯:3	test=1,train=19
好多	18	3	好多	好多:15 好|多:3	test=1,train=17
懂得	17	3	懂得	懂得:14 懂|得:3	train=17
三天	14	3	三|天	三|天:11 三天:3	train=14
想像	13	3	想像	想像:10 想|像:3	train=13
乱动	12	3	乱动	乱动:9 乱|动:3	train=12
他人	12	3	他人	他人:9 他|人:3	train=12
吃药	12	3	吃|药	吃|药:9 吃药:3	train=12
朋友们	12	3	朋友们	朋友们:9 朋友|们:3	test=1,train=11
一道	11	3	一|道	一|道:8 一道:3	train=11
不和	11	3	不|和	不|和:8 不和:3	train=11
双手	11	3	双手	双手:8 双|手:3	train=11
死人	11	3	死人	死人:8 死|人:3	train=11
街上	11	3	街|上	街|上:8 街上:3	train=11
不止	10	3	不止	不止:7 不|止:3	train=10
两位	10	3	两|位	两|位:7 两位:3	train=10
中了	10	3	中|了	中|了:7 中了:3	train=10
假的	10	3	假的	假的:7 假|的:3	train=10
很少	10	3	很|少	很|少:7 很少:3	train=9,val=1
得来	10	3	得来	得来:7 得|来:3	train=10
怎么回事儿	10	3	怎么回事儿	怎么回事儿:7 怎么|回事儿:3	test=1,train=9
不晓得	9	3	不晓得	不晓得:6 不|晓得:3	train=9
唱戏	9	3	唱戏	唱戏:6 唱|戏:3	train=9
太过分	9	3	太|过分	太|过分:6 太过分:3	train=8,val=1
快要	9	3	快要	快要:6 快|要:3	train=9
狗娘养的	9	3	狗娘|养|的	狗娘|养|的:6 狗娘养的:2 狗娘|养的:1	test=1,train=8
用不着	9	3	用|不|着	用|不|着:6 用|不着:2 用不着:1	train=9
两点	8	3	两点	两点:5 两|点:3	train=8
好吃的	8	3	好吃|的	好吃|的:5 好吃的:3	train=8
少说	8	3	少|说	少|说:5 少说:3	train=8
秋也	8	3	秋也	秋也:5 秋|也:3	train=8
骑车	8	3	骑车	骑车:5 骑|车:3	train=8
一身	7	3	一身	一身:4 一|身:3	train=7
上一次	7	3	上|一|次	上|一|次:4 上|一次:2 上一次:1	train=7
你们家	7	3	你们家	你们家:4 你们|家:3	train=7
向下	7	3	向下	向下:4 向|下:3	train=7
哪家	7	3	哪|家	哪|家:4 哪家:3	train=7
好大	7	3	好大	好大:4 好|大:3	train=6,val=1
小东西	7	3	小|东西	小|东西:4 小东西:3	train=7
打手枪	7	3	打手枪	打手枪:4 打|手枪:3	train=7
竟敢	7	3	竟|敢	竟|敢:4 竟敢:3	train=7
萨海先生	7	3	萨海|先生	萨海|先生:4 萨海先生:3	train=7
赶时间	7	3	赶|时间	赶|时间:4 赶时间:3	train=7
过头	7	3	过|头	过|头:4 过头:3	train=7
递给	7	3	递给	递给:4 递|给:3	train=7
一跳	6	3	一|跳	一|跳:3 一跳:3	train=6
不只	6	3	不|只	不|只:3 不只:3	train=5,val=1
传给	6	3	传给	传给:3 传|给:3	train=6
关起来	6	3	关起来	关起来:3 关|起来:3	train=6
切其娜	6	3	切|其娜	切|其娜:3 切其娜:3	train=5,val=1
带点	6	3	带点	带点:3 带|点:3	train=5,val=1
带给	6	3	带给	带给:3 带|给:3	train=6
很长时间	6	3	很|长时间	很|长时间:3 很|长|时间:2 很长时间:1	train=6
想好	6	3	想|好	想|好:3 想好:3	test=1,train=5
找来	6	3	找来	找来:3 找|来:3	train=6
收钱	6	3	收钱	收钱:3 收|钱:3	train=6
着想	6	3	着|想	着|想:3 着想:3	train=6
臭婆娘	6	3	臭婆娘	臭婆娘:3 臭|婆娘:3	train=6
这时候	6	3	这时候	这时候:3 这|时候:3	test=1,train=5
下一次	5	3	下|一|次	下|一|次:2 下一次:2 下|一次:1	train=5
不能够	5	3	不|能|够	不|能|够:2 不能够:2 不|能够:1	train=5
叨伟里	5	3	叨|伟|里	叨|伟|里:2 叨|伟里:2 叨伟里:1	train=5
等一等	5	3	等|一等	等|一等:2 等一等:2 等|一|等:1	train=5
我的	1063	2	我|的	我|的:1061 我的:2	test=9,train=1045,val=9
这么	635	2	这么	这么:633 这|么:2	test=8,train=623,val=4
看到	327	2	看到	看到:325 看|到:2	test=3,train=319,val=5
什么事	247	2	什么|事	什么|事:245 什么事:2	test=1,train=241,val=5
他妈的	143	2	他妈的	他妈的:141 他妈|的:2	test=2,train=139,val=2
那样	141	2	那样	那样:139 那|样:2	train=140,val=1
干吗	129	2	干吗	干吗:127 干|吗:2	test=5,train=121,val=3
马上	100	2	马上	马上:98 马|上:2	train=98,val=2
些什么	91	2	些|什么	些|什么:89 些什么:2	train=88,val=3
亲爱的	84	2	亲爱的	亲爱的:82 亲爱|的:2	test=1,train=82,val=1
可不	72	2	可|不	可|不:70 可不:2	train=72
！？	50	2	！|？	！|？:48 ！？:2	test=1,train=49
不说	46	2	不|说	不|说:44 不说:2	train=46
打死	45	2	打死	打死:43 打|死:2	train=45
不同	41	2	不同	不同:39 不|同:2	test=1,train=40
人们	40	2	人们	人们:38 人|们:2	train=40
太好	38	2	太|好	太|好:36 太好:2	train=38
这位	38	2	这|位	这|位:36 这位:2	train=38
不再	36	2	不再	不再:34 不|再:2	train=36
做到	36	2	做到	做到:34 做|到:2	train=36
快来	36	2	快|来	快|来:34 快来:2	train=36
不许	35	2	不许	不许:33 不|许:2	test=1,train=34
这次	35	2	这|次	这|次:33 这次:2	test=1,train=34
杀人	34	2	杀人	杀人:32 杀|人:2	train=34
还给	32	2	还|给	还|给:30 还给:2	test=1,train=31
下车	31	2	下车	下车:29 下|车:2	test=1,train=29,val=1
交给	31	2	交给	交给:29 交|给:2	train=31
来到	31	2	来到	来到:29 来|到:2	train=31
能够	30	2	能够	能够:28 能|够:2	test=1,train=29
不爱	29	2	不|爱	不|爱:27 不爱:2	test=1,train=28
一条	28	2	一|条	一|条:26 一条:2	train=28
睡着	27	2	睡着	睡着:25 睡|着:2	train=27
停下来	25	2	停下来	停下来:23 停|下来:2	train=25
别说	24	2	别|说	别|说:22 别说:2	train=24
一起来	23	2	一起|来	一起|来:21 一起来:1 一|起来:1	test=1,train=22
小心点	22	2	小心|点	小心|点:20 小心点:2	test=1,train=21
不算	21	2	不|算	不|算:19 不算:2	train=21
受不了	21	2	受不了	受不了:19 受|不|了:2	train=20,val=1
一半	20	2	一半	一半:18 一|半:2	train=20
带上	19	2	带上	带上:17 带|上:2	train=19
意味着	19	2	意味着	意味着:17 意味|着:2	train=19
最大	19	2	最大	最大:17 最|大:2	train=18,val=1
有用	19	2	有用	有用:17 有|用:2	test=1,train=17,val=1
认得	19	2	认得	认得:17 认|得:2	test=1,train=18
一步	18	2	一|步	一|步:16 一步:2	train=18
你们俩	18	2	你们俩	你们俩:16 你们|俩:2	train=17,val=1
打来	17	2	打来	打来:15 打|来:2	test=1,train=16
留给	17	2	留给	留给:15 留|给:2	train=17
送到	17	2	送|到	送|到:15 送到:2	test=1,train=16
养的	16	2	养|的	养|的:14 养的:2	test=1,train=15
给钱	16	2	给|钱	给|钱:14 给钱:2	train=16
头上	15	2	头上	头上:13 头|上:2	train=15
开了	15	2	开|了	开|了:13 开了:2	train=15
跑来	15	2	跑|来	跑|来:13 跑来:2	train=15
想念	14	2	想念	想念:12 想|念:2	train=13,val=1
男的	14	2	男的	男的:12 男|的:2	test=1,train=13
老了	14	2	老|了	老|了:12 老了:2	train=14
醒过来	14	2	醒|过来	醒|过来:12 醒过来:2	test=1,train=12,val=1
一人	13	2	一人	一人:11 一|人:2	train=13
不是吧	13	2	不|是|吧	不|是|吧:11 不是|吧:1 不是吧:1	train=12,val=1
学到	13	2	学到	学到:11 学|到:2	train=13
死定	13	2	死|定	死|定:11 死定:2	train=12,val=1
死定了	13	2	死|定|了	死|定|了:11 死定了:1 死定|了:1	train=12,val=1
要命	13	2	要命	要命:11 要|命:2	train=12,val=1
这家	13	2	这|家	这|家:11 这家:2	train=13
长的	13	2	长|的	长|的:11 长的:2	train=13
听好	12	2	听好	听好:10 听|好:2	train=12
寄给	12	2	寄|给	寄|给:10 寄给:2	train=12
怎麽回事	12	2	怎麽|回事	怎麽|回事:10 怎麽回事:2	train=12
进水	12	2	进水	进水:10 进|水:2	train=12
您好	11	2	您好	您好:9 您|好:2	train=11
欢迎光临	11	2	欢迎光临	欢迎光临:9 欢迎|光临:2	train=11
等到	11	2	等到	等到:9 等|到:2	train=11
说到	11	2	说|到	说|到:9 说到:2	train=11
这点	11	2	这|点	这|点:9 这点:2	test=1,train=10
之处	10	2	之|处	之|处:8 之处:2	train=10
挖土	10	2	挖|土	挖|土:8 挖土:2	train=10
来人	10	2	来人	来人:8 来|人:2	train=10
这头	10	2	这|头	这|头:8 这头:2	train=9,val=1
一时	9	2	一时	一时:7 一|时:2	train=9
不停	9	2	不停	不停:7 不|停:2	train=9
好嘛	9	2	好|嘛	好|嘛:7 好嘛:2	train=9
好说	9	2	好|说	好|说:7 好说:2	train=9
将会	9	2	将|会	将|会:7 将会:2	test=1,train=8
小孩子	9	2	小孩子	小孩子:7 小|孩子:2	train=9
巴特帮	9	2	巴特|帮	巴特|帮:7 巴特帮:2	train=9
有一点	9	2	有|一点	有|一点:7 有|一|点:1 有一点:1	train=9
第十三	9	2	第|十三	第|十三:7 第十三:2	train=9
躲起来	9	2	躲|起来	躲|起来:7 躲起来:2	train=9
那时候	9	2	那时候	那时候:7 那|时候:2	train=9
一言	8	2	一言	一言:6 一|言:2	train=8
不多	8	2	不|多	不|多:6 不多:2	test=1,train=7
了点	8	2	了|点	了|点:6 了点:2	train=8
好多了	8	2	好多了	好多了:6 好|多|了:2	train=8
小女孩	8	2	小女孩	小女孩:6 小|女孩:2	train=8
小家伙	8	2	小家伙	小家伙:6 小|家伙:2	train=8
快些	8	2	快|些	快|些:6 快些:2	train=8
打拳	8	2	打|拳	打|拳:6 打拳:2	train=8
无论如何	8	2	无论如何	无论如何:6 无论|如何:2	train=8
有关系	8	2	有|关系	有|关系:6 有关系:2	test=2,train=6
没事儿	8	2	没事儿	没事儿:6 没|事儿:2	test=1,train=7
没想到	8	2	没|想到	没|想到:6 没想到:2	train=8
眼中	8	2	眼中	眼中:6 眼|中:2	train=7,val=1
美的	8	2	美|的	美|的:6 美的:2	train=8
街头男孩	8	2	街头|男孩	街头|男孩:6 街头男孩:2	train=8
那晚	8	2	那晚	那晚:6 那|晚:2	train=8
锁上	8	2	锁上	锁上:6 锁|上:2	train=8
一千万	7	2	一千万	一千万:5 一|千万:2	train=7
不不	7	2	不|不	不|不:5 不不:2	train=7
不通	7	2	不|通	不|通:5 不通:2	train=7
人才	7	2	人才	人才:5 人|才:2	train=7
到家	7	2	到|家	到|家:5 到家:2	train=7
好日子	7	2	好|日子	好|日子:5 好日子:2	train=6,val=1
并非	7	2	并非	并非:5 并|非:2	train=7
弄好	7	2	弄|好	弄|好:5 弄好:2	train=7
有份	7	2	有|份	有|份:5 有份:2	train=6,val=1
有罪	7	2	有罪	有罪:5 有|罪:2	train=7
水里	7	2	水里	水里:5 水|里:2	train=7
说唱	7	2	说唱	说唱:5 说|唱:2	train=7
赶出去	7	2	赶|出去	赶|出去:5 赶出去:2	train=7
逃出来	7	2	逃|出来	逃|出来:5 逃出来:2	train=7
一周	6	2	一|周	一|周:4 一周:2	train=6
下个	6	2	下|个	下|个:4 下个:2	train=6
不快乐	6	2	不|快乐	不|快乐:4 不快乐:2	train=6
不死	6	2	不|死	不|死:4 不死:2	train=6
十分钟	6	2	十分钟	十分钟:4 十|分钟:2	train=6
原以为	6	2	原|以为	原|以为:4 原以为:2	train=6
发脾气	6	2	发脾气	发脾气:4 发|脾气:2	test=1,train=5
向后	6	2	向后	向后:4 向|后:2	train=6
哈珊先生	6	2	哈珊|先生	哈珊|先生:4 哈珊先生:2	train=6
喜不喜欢	6	2	喜|不|喜欢	喜|不|喜欢:4 喜不喜欢:2	train=6
坏运气	6	2	坏|运气	坏|运气:4 坏运气:2	train=6
天晚上	6	2	天|晚上	天|晚上:4 天晚上:2	train=6
好棒	6	2	好|棒	好|棒:4 好棒:2	train=5,val=1
学生们	6	2	学生们	学生们:4 学生|们:2	train=6
想不到	6	2	想不到	想不到:4 想|不到:1 想|不|到:1	train=6
我靠	6	2	我|靠	我|靠:4 我靠:2	train=6
戴上	6	2	戴|上	戴|上:4 戴上:2	train=6
更为	6	2	更为	更为:4 更|为:2	train=6
海里	6	2	海里	海里:4 海|里:2	train=6
留着	6	2	留|着	留|着:4 留着:2	train=6
老巫婆	6	2	老巫婆	老巫婆:4 老|巫婆:2	train=6
要不是	6	2	要|不|是	要|不|是:4 要|不是:1 要不是:1	train=6
走出	6	2	走出	走出:4 走|出:2	train=6
走远	6	2	走|远	走|远:4 走远:2	train=6
一方	5	2	一方	一方:3 一|方:2	train=5
一面	5	2	一面	一面:3 一|面:2	train=5
万造	5	2	万造	万造:3 万|造:2	train=4,val=1
不容易	5	2	不容易	不容易:3 不|容易:2	train=5
不寻常	5	2	不寻常	不寻常:3 不|寻常:2	train=5
不曾	5	2	不曾	不曾:3 不|曾:2	train=5
不要命	5	2	不|要命	不|要命:3 不要命:1 不|要|命:1	train=5
不足以	5	2	不足以	不足以:3 不|足以:2	train=5
五千	5	2	五|千	五|千:3 五千:2	train=5
五点	5	2	五点	五点:3 五|点:2	train=5
你哥	5	2	你哥	你哥:3 你|哥:2	train=5
光是	5	2	光是	光是:3 光|是:2	train=5
加里波第	5	2	加里波第	加里波第:3 加里波|第:2	train=5
即是	5	2	即|是	即|是:3 即是:2	train=5
却克	5	2	却克	却克:3 却|克:2	train=5
变回	5	2	变回	变回:3 变|回:2	train=5
另一边	5	2	另一边	另一边:3 另|一|边:1 另|一边:1	train=5
可别	5	2	可别	可别:3 可|别:2	train=5
可知	5	2	可知	可知:3 可|知:2	train=5
和平共处	5	2	和平|共处	和平|共处:3 和平共处:2	train=5
在下	5	2	在下	在下:3 在|下:2	train=5
坐下来	5	2	坐|下来	坐|下来:3 坐下来:2	train=5
大城市	5	2	大|城市	大|城市:3 大城市:2	train=5
大堆	5	2	大|堆	大|堆:3 大堆:2	train=5
太过	5	2	太过	太过:3 太|过:2	train=5
宗教信仰	5	2	宗教信仰	宗教信仰:3 宗教|信仰:2	test=1,train=4
少来	5	2	少|来	少|来:3 少来:2	train=5
就算了	5	2	就|算了	就|算了:3 就算了:1 就算|了:1	train=5
左转	5	2	左转	左转:3 左|转:2	train=5
帮到	5	2	帮|到	帮|到:3 帮到:2	train=5
干一杯	5	2	干|一杯	干|一杯:3 干一杯:1 干|一|杯:1	train=5
弄坏	5	2	弄|坏	弄|坏:3 弄坏:2	train=5
快快	5	2	快快	快快:3 快|快:2	train=5
想不通	5	2	想|不|通	想|不|通:3 想不通:1 想|不通:1	train=5
所能	5	2	所能	所能:3 所|能:2	train=5
所见	5	2	所|见	所|见:3 所见:2	train=5
打人	5	2	打人	打人:3 打|人:2	test=1,train=4
打水	5	2	打水	打水:3 打|水:2	train=4,val=1
抓人	5	2	抓人	抓人:3 抓|人:2	train=5
搬砖	5	2	搬|砖	搬|砖:3 搬砖:2	train=5
救人	5	2	救人	救人:3 救|人:2	train=5
有权	5	2	有权	有权:3 有|权:2	train=5
桌上	5	2	桌|上	桌|上:3 桌上:2	train=5
正要	5	2	正要	正要:3 正|要:2	train=5
武痴林	5	2	武痴林	武痴林:3 武痴|林:2	train=5
混在一起	5	2	混|在|一起	混|在|一起:3 混|在一起:1 混在一起:1	train=5
炸掉	5	2	炸掉	炸掉:3 炸|掉:2	train=5
炼狱先生	5	2	炼狱先生	炼狱先生:3 炼狱|先生:2	train=5
犹太猪	5	2	犹太|猪	犹太|猪:3 犹太猪:2	train=4,val=1
生下来	5	2	生下来	生下来:3 生|下来:2	train=5
知己	5	2	知己	知己:3 知|己:2	train=5
系上	5	2	系|上	系|上:3 系上:2	train=5
装傻	5	2	装傻	装傻:3 装|傻:2	train=5
见得	5	2	见得	见得:3 见|得:2	train=5
认不认识	5	2	认不认识	认不认识:3 认|不|认识:2	train=5
让给	5	2	让|给	让|给:3 让给:2	train=5
讲和	5	2	讲和	讲和:3 讲|和:2	train=5
那头	5	2	那头	那头:3 那|头:2	train=5
难道说	5	2	难道|说	难道|说:3 难道说:2	train=5
顺着	5	2	顺着	顺着:3 顺|着:2	train=5
一个个	4	2	一个个	一个个:2 一|个个:1 一|个|个:1	train=4
一刻	4	2	一|刻	一|刻:2 一刻:2	train=4
一团糟	4	2	一|团|糟	一|团|糟:2 一团糟:1 一|团糟:1	train=4
一家人	4	2	一家人	一家人:2 一|家人:1 一|家|人:1	train=4
不妙	4	2	不妙	不妙:2 不|妙:2	train=4
不赖	4	2	不赖	不赖:2 不|赖:2	train=4
不过来	4	2	不|过来	不|过来:2 不过来:2	train=4
亲兄弟	4	2	亲|兄弟	亲|兄弟:2 亲兄弟:2	train=4
伟里	4	2	伟|里	伟|里:2 伟里:2	train=4
你的心	4	2	你|的|心	你|的|心:2 你的心:2	train=4
做菜	4	2	做菜	做菜:2 做|菜:2	train=4
偷鸡	4	2	偷|鸡	偷|鸡:2 偷鸡:2	train=4
再生	4	2	再生	再生:2 再|生:2	train=4
再说了	4	2	再|说|了	再|说|了:2 再说了:1 再说|了:1	train=4
写好	4	2	写|好	写|好:2 写好:2	train=4
半个	4	2	半个	半个:2 半|个:2	train=4
可有	4	2	可|有	可|有:2 可有:2	train=4
咬着	4	2	咬|着	咬|着:2 咬着:2	train=4
唔知	4	2	唔知	唔知:2 唔|知:2	train=4
回答道	4	2	回答|道	回答|道:2 回答道:2	train=4
够用	4	2	够|用	够|用:2 够用:2	train=4
大大的	4	2	大大的	大大的:2 大大|的:2	train=4
太甚	4	2	太|甚	太|甚:2 太甚:2	train=4
小坏蛋	4	2	小|坏蛋	小|坏蛋:2 小坏蛋:2	train=4
